model,mean_cqs,mean_piqs,mean_compqs,pattern,n,avg_cqs,avg_piqs,avg_compqs,delta,cqs_rank,compqs_rank
qwen25_7b,73.44,78.06,73.34,singleton,36,71.40,97.22,82.14,+10.74,5,1
qwen25_7b,73.44,78.06,73.34,factory-method,36,74.82,79.06,75.88,+1.06,2,3
qwen25_7b,73.44,78.06,73.34,strategy,36,76.32,91.35,81.00,+4.68,1,2
qwen25_7b,73.44,78.06,73.34,observer,36,72.97,69.63,69.82,-3.15,3,4
qwen25_7b,73.44,78.06,73.34,composite,36,71.68,53.02,57.84,-13.85,4,5
llama31_8b,73.53,75.35,71.23,singleton,36,71.31,94.44,79.80,+8.49,5,2
llama31_8b,73.53,75.35,71.23,factory-method,36,74.70,70.31,71.04,-3.66,2,3
llama31_8b,73.53,75.35,71.23,strategy,36,76.00,92.89,82.78,+6.79,1,1
llama31_8b,73.53,75.35,71.23,observer,36,73.48,66.74,66.09,-7.39,3,4
llama31_8b,73.53,75.35,71.23,composite,36,72.18,52.38,56.46,-15.72,4,5
qwen25_14b,74.59,89.76,80.64,singleton,36,72.70,100.00,85.22,+12.52,4,2
qwen25_14b,74.59,89.76,80.64,factory-method,36,77.39,95.80,85.75,+8.36,1,1
qwen25_14b,74.59,89.76,80.64,strategy,36,75.79,91.97,81.18,+5.39,2,3
qwen25_14b,74.59,89.76,80.64,observer,36,74.53,78.80,74.71,+0.18,3,5
qwen25_14b,74.59,89.76,80.64,composite,36,72.53,82.26,76.32,+3.79,5,4
qwen3-coder-30b-a3b-instruct,68.28,80.11,73.35,singleton,12,61.56,100.00,78.35,+16.78,4,2
qwen3-coder-30b-a3b-instruct,68.28,80.11,73.35,factory-method,12,72.88,78.31,75.45,+2.57,2,3
qwen3-coder-30b-a3b-instruct,68.28,80.11,73.35,strategy,12,75.62,90.72,82.65,+7.03,1,1
qwen3-coder-30b-a3b-instruct,68.28,80.11,73.35,observer,12,71.00,71.25,70.90,-0.10,3,4
qwen3-coder-30b-a3b-instruct,68.28,80.11,73.35,composite,12,60.34,60.29,59.39,-0.95,5,5
