unit_id,pattern,gen_status,num_files,psr,cpc,piqs,grade,error
qwen-qwen2-5-14b-instruct__Builder__banking-account-management__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__car-rental-management__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__food-delivery-management__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__gym-membership-platform__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__hospital-appointment-scheduler__rep0,Builder,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__hotel-reservation-system__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__issue-tracking-system__rep0,Builder,ok,2,83.33,91.67,86.67,Good,
qwen-qwen2-5-14b-instruct__Builder__learning-management-system__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__library-management-system__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__payroll-and-hr-system__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__school-management-platform__rep0,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Builder__warehouse-inventory-tracker__rep0,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Composite__banking-account-management__rep0,Composite,ok,5,60.0,64.29,61.71,Moderate,
qwen-qwen2-5-14b-instruct__Composite__car-rental-management__rep0,Composite,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Composite__food-delivery-management__rep0,Composite,ok,5,80.0,85.71,82.29,Good,
qwen-qwen2-5-14b-instruct__Composite__gym-membership-platform__rep0,Composite,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Composite__hospital-appointment-scheduler__rep0,Composite,ok,6,80.0,85.71,82.29,Good,
qwen-qwen2-5-14b-instruct__Composite__hotel-reservation-system__rep0,Composite,ok,4,80.0,78.57,79.43,Good,
qwen-qwen2-5-14b-instruct__Composite__issue-tracking-system__rep0,Composite,ok,4,60.0,64.29,61.71,Moderate,
qwen-qwen2-5-14b-instruct__Composite__learning-management-system__rep0,Composite,ok,4,80.0,85.71,82.29,Good,
qwen-qwen2-5-14b-instruct__Composite__library-management-system__rep0,Composite,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Composite__payroll-and-hr-system__rep0,Composite,ok,4,80.0,78.57,79.43,Good,
qwen-qwen2-5-14b-instruct__Composite__school-management-platform__rep0,Composite,ok,4,80.0,85.71,82.29,Good,
qwen-qwen2-5-14b-instruct__Composite__warehouse-inventory-tracker__rep0,Composite,ok,4,80.0,85.71,82.29,Good,
qwen-qwen2-5-14b-instruct__Decorator__banking-account-management__rep0,Decorator,ok,5,83.33,83.33,83.33,Good,
qwen-qwen2-5-14b-instruct__Decorator__car-rental-management__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__food-delivery-management__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__gym-membership-platform__rep0,Decorator,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__hospital-appointment-scheduler__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__hotel-reservation-system__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__issue-tracking-system__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__learning-management-system__rep0,Decorator,ok,6,66.67,66.67,66.67,Moderate,
qwen-qwen2-5-14b-instruct__Decorator__library-management-system__rep0,Decorator,ok,9,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__payroll-and-hr-system__rep0,Decorator,ok,6,83.33,83.33,83.33,Good,
qwen-qwen2-5-14b-instruct__Decorator__school-management-platform__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Decorator__warehouse-inventory-tracker__rep0,Decorator,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__banking-account-management__rep0,Factory Method,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__car-rental-management__rep0,Factory Method,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__food-delivery-management__rep0,Factory Method,ok,8,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__gym-membership-platform__rep0,Factory Method,ok,5,80.0,84.62,81.85,Good,
qwen-qwen2-5-14b-instruct__Factory Method__hospital-appointment-scheduler__rep0,Factory Method,ok,10,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__hotel-reservation-system__rep0,Factory Method,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__issue-tracking-system__rep0,Factory Method,ok,8,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__learning-management-system__rep0,Factory Method,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__library-management-system__rep0,Factory Method,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__payroll-and-hr-system__rep0,Factory Method,ok,8,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__school-management-platform__rep0,Factory Method,ok,10,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Factory Method__warehouse-inventory-tracker__rep0,Factory Method,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__banking-account-management__rep0,Observer,ok,4,75.0,81.82,77.73,Good,
qwen-qwen2-5-14b-instruct__Observer__car-rental-management__rep0,Observer,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__food-delivery-management__rep0,Observer,ok,7,50.0,45.45,48.18,Poor,
qwen-qwen2-5-14b-instruct__Observer__gym-membership-platform__rep0,Observer,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__hospital-appointment-scheduler__rep0,Observer,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__hotel-reservation-system__rep0,Observer,ok,5,75.0,81.82,77.73,Good,
qwen-qwen2-5-14b-instruct__Observer__issue-tracking-system__rep0,Observer,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__learning-management-system__rep0,Observer,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__library-management-system__rep0,Observer,ok,7,50.0,45.45,48.18,Poor,
qwen-qwen2-5-14b-instruct__Observer__payroll-and-hr-system__rep0,Observer,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__school-management-platform__rep0,Observer,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Observer__warehouse-inventory-tracker__rep0,Observer,ok,5,75.0,81.82,77.73,Good,
qwen-qwen2-5-14b-instruct__Singleton__banking-account-management__rep0,Singleton,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__car-rental-management__rep0,Singleton,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__food-delivery-management__rep0,Singleton,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__gym-membership-platform__rep0,Singleton,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__hospital-appointment-scheduler__rep0,Singleton,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__hotel-reservation-system__rep0,Singleton,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__issue-tracking-system__rep0,Singleton,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__learning-management-system__rep0,Singleton,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__library-management-system__rep0,Singleton,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__payroll-and-hr-system__rep0,Singleton,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__school-management-platform__rep0,Singleton,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Singleton__warehouse-inventory-tracker__rep0,Singleton,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__banking-account-management__rep0,Strategy,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__car-rental-management__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__food-delivery-management__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__gym-membership-platform__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__hospital-appointment-scheduler__rep0,Strategy,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__hotel-reservation-system__rep0,Strategy,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__issue-tracking-system__rep0,Strategy,ok,6,0.0,0.0,0.0,Poor,
qwen-qwen2-5-14b-instruct__Strategy__learning-management-system__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__library-management-system__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__payroll-and-hr-system__rep0,Strategy,ok,9,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__school-management-platform__rep0,Strategy,ok,7,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Strategy__warehouse-inventory-tracker__rep0,Strategy,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__banking-account-management__rep0,Template Method,ok,5,80.0,81.82,80.73,Good,
qwen-qwen2-5-14b-instruct__Template Method__car-rental-management__rep0,Template Method,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__food-delivery-management__rep0,Template Method,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__gym-membership-platform__rep0,Template Method,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__hospital-appointment-scheduler__rep0,Template Method,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__hotel-reservation-system__rep0,Template Method,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__issue-tracking-system__rep0,Template Method,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__learning-management-system__rep0,Template Method,ok,3,80.0,81.82,80.73,Good,
qwen-qwen2-5-14b-instruct__Template Method__library-management-system__rep0,Template Method,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__payroll-and-hr-system__rep0,Template Method,ok,5,60.0,54.55,57.82,Moderate,
qwen-qwen2-5-14b-instruct__Template Method__school-management-platform__rep0,Template Method,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-14b-instruct__Template Method__warehouse-inventory-tracker__rep0,Template Method,ok,3,100.0,100.0,100.0,Excellent,
