unit_id,seed,pattern,gen_status,num_files,psr,cpc,piqs,grade,error
qwen-qwen2-5-7b-instruct__Builder__banking-account-management__rep0,40,Builder,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__car-rental-management__rep0,40,Builder,ok,2,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__food-delivery-management__rep0,40,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__gym-membership-platform__rep0,40,Builder,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__hospital-appointment-scheduler__rep0,40,Builder,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__hotel-reservation-system__rep0,40,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__issue-tracking-system__rep0,40,Builder,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__learning-management-system__rep0,40,Builder,ok,6,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__library-management-system__rep0,40,Builder,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__payroll-and-hr-system__rep0,40,Builder,ok,5,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__school-management-platform__rep0,40,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Builder__warehouse-inventory-tracker__rep0,40,Builder,ok,3,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Composite__banking-account-management__rep0,40,Composite,ok,7,60.0,64.29,61.71,Moderate,
qwen-qwen2-5-7b-instruct__Composite__car-rental-management__rep0,40,Composite,ok,4,100.0,100.0,100.0,Excellent,
qwen-qwen2-5-7b-instruct__Composite__food-delivery-management__rep0,40,Composite,ok,6,40.0,35.71,38.29,Poor,
qwen-qwen2-5-7b-instruct__Composite__gym-membership-platform__rep0,40,Composite,ok,6,40.0,35.71,38.29,Poor,
qwen-qwen2-5-7b-instruct__Composite__hospital-appointment-scheduler__rep0,40,Composite,ok,6,0.0,0.0,0.0,Poor,
qwen-qwen2-5-7b-instruct__Composite__hotel-reservation-system__rep0,40,Composite,ok,4,80.0,85.71,82.29,Good,
qwen-qwen2-5-7b-instruct__Composite__issue-tracking-system__rep0,40,Composite,ok,9,40.0,35.71,38.29,Poor,
